"To view the poll results, please submit your choice(s)",请先提交您的选择以查看投票结果,
Discard,放弃,
Direct Message,私信,
Direct Messages,私信,
Webhooks,Webhook,
Fire webhooks on specific events like when a message is sent or channel is created.,在发送消息或创建频道等特定事件时触发 Webhook。,
Webhooks allow you to receive HTTP requests whenever a specific event occurs - like when a message is sent or a channel is created.,当发生特定事件（如发送消息或创建频道）时，可接收 HTTP 请求。,
Create your first webhook,创建你的第一个 Webhook,
Workspaces,工作区,
Workspaces allow you to organize your channels and teams.,工作区用于组织频道和团队。,
Membership,成员身份,
Admin,管理员,
Member,成员,
Not a member,非成员,
Help and Support,帮助与支持,
Have ideas or ran into an issue?,有想法或遇到问题？,
Click here to send us feedback or file an issue,点击此处向我们反馈或提交问题,
Contact Us,联系我们,
GitHub,GitHub,
Community,社区,
Website,网站,
Support Email,支持邮箱,
Crafted by The Commit Company,由 The Commit Company 打造,
Create a Webhook,创建 Webhook,
Webhook created,Webhook 已创建,
Creating,创建中,
New Webhook,新建 Webhook,
Users,用户,
Manage users added to Raven.,管理已加入 Raven 的用户。,
Disabled,已禁用,
Use these to add custom actions - like creating an issue/task from a message.,用于添加自定义操作，例如从消息创建工单或任务。,
Add actions that allow you to create documents or make API calls from the contents of a message - like creating a support ticket or project issue from a message sent in a channel.,添加可从消息内容创建文档或调用 API 的操作，例如根据频道中的消息创建支持工单或项目问题。,
Access them by right clicking any message and selecting,在任意消息上右键并选择,
Create your first action,创建你的第一个操作,
Create a Message Action,创建消息操作,
Message Action,消息操作,
New Message Action,新建消息操作,
Configure alerts to be sent to users or channels when documents are updated in the system.,配置在系统中文档更新时向用户或频道发送提醒。,
Stay in the Loop,保持同步,
Send messages to channels or users based on document activity in your ERP system. Keep your team informed about important changes in real-time with rich document previews.,根据 ERP 系统中的文档活动向频道或用户发送消息，通过富文档预览让团队实时了解重要变更。,
Create your first notification,创建你的第一条通知,
Document Type,文档类型,
Send Alert On,触发条件,
Enabled,已启用,
Create a Document Notification,创建文档通知,
Document Notification,文档通知,
New Document Notification,新建文档通知,
Emojis,表情,
"Add custom emojis to use for your reactions. PNG, SVG and GIFs supported.",添加自定义表情用于回复，支持 PNG、SVG 和 GIF。,
Need help finding one? Download from,需要找表情？可从,
Personalize your chats with custom emojis.,用自定义表情让聊天更有个性。,
Upload your own or download from,上传自己的或从,
Uploaded By,上传者,
Added,添加时间,
Scheduled Messages,定时消息,
You can create a scheduled message & a bot will send it to you at the specified time.,可创建定时消息，机器人将在指定时间发送。,
Reminders,提醒,
Schedule messages to be sent to you at a specific date and time.,在指定日期和时间向您发送消息。,
These support the CRON syntax.,支持 CRON 语法。,
Schedule a reminder,安排提醒,
Created by,创建者,
on,于,
Click to edit,点击编辑,
Edit,编辑,
Click to delete,点击删除,
Delete,删除,
Scheduled Message created,定时消息已创建,
Scheduled Message,定时消息,
New Scheduled Message,新建定时消息,
Not Saved,未保存,
Enable,启用,
Disable,禁用,
Workspace Explorer,工作区浏览器,
Details,详情,
Saved,已保存,
Document Previews,文档预览,
Customise how document links are displayed in the chat. You can add/remove fields to be displayed in the preview.,自定义聊天中文档链接的展示方式，可添加或移除预览中显示的字段。,
"When writing a message, press",撰写消息时，按,
to:,以：,
Start a new line,换行,
Pressing Enter will immediately send your message. Use Shift+Enter to add a new line.,按 Enter 立即发送消息，Shift+Enter 换行。,
Pressing Enter will add a new line. Use Ctrl/Cmd+Enter to send your message.,按 Enter 换行，Ctrl/Cmd+Enter 发送消息。,
Set Favourite Emojis for Reactions,设置常用回复表情,
Click on any button to set your favorite emoji for quick reactions. These emojis will be available as quick reactions in chat messages.,点击任意按钮设置常用表情，这些表情将作为快捷回复出现在聊天中。,
"To send push notifications, you have two options:",发送推送通知有两种方式：,
"this is recommended. If you are self hosting, this is the only option.",推荐使用。若自托管，此为唯一选项。,
"if you are using Frappe Cloud, you can use this option.",若使用 Frappe Cloud，可选择此项。,
Please select a push notification service,请选择推送通知服务,
We recommend using Raven Cloud for push notifications.,推荐使用 Raven Cloud 作为推送通知服务。,
https://push.raven.chat,https://push.raven.chat,
Please add your Push Notification Server URL,请填写推送通知服务 URL,
Your API Key,您的 API 密钥,
Password,密码,
Password is required.,请填写密码。,
jane@example.com,jane@example.com,
Add User,添加用户,
Invite a new user to Raven.,邀请新用户加入 Raven。,
Email,邮箱,
Email is required,请填写邮箱,
This user is already on Raven.,该用户已在 Raven 中。,
First Name,名,
First Name is required,请填写名,
Last Name,姓,
Last Name is required,请填写姓,
This user already exists in Frappe. Add them to Raven?,该用户已存在于 Frappe，是否将其加入 Raven？,
An invite will be sent on their email.,将向其邮箱发送邀请。,
Send Invite,发送邀请,
Version updated,版本已更新,
The application has been updated to a newer version. Please refresh this page.,应用已更新到新版本，请刷新本页。,
Refresh,刷新,
Only System managers have the ability to add users; users you add will be given the,仅系统管理员可添加用户，被添加的用户将获得,
role.,角色。,
Adding,添加中,
Search for user,搜索用户,
Continue typing...,继续输入…,
You do not have access to,您无权访问,
Please contact your Administrator or System Manager to give you the,请联系管理员或系统管理员为您分配,
View Raven Users,查看 Raven 用户,
Refresh Page,刷新页面,
Users you add will be given the,被添加的用户将获得,
Type a message...,输入消息…,
Sign Up,注册,
Login,登录,
Login with Email Link,使用邮箱链接登录,
AI Settings,AI 设置,
Configure AI providers to use AI features in Raven.,配置 AI 提供商以在 Raven 中使用 AI 功能。,
Agents,智能体,
"Use agents to send reminders, run AI assistants, and more.",使用智能体发送提醒、运行 AI 助手等。,
You don't have permissions to create agents.,您没有创建智能体的权限。,
You don't have permission to access this settings section.,您没有权限访问此设置模块。,
"Only Raven Admin can configure Workspace, Integrations, and AI settings. You can only edit items under My Account.",仅 Raven 管理员可配置工作区、集成与 AI 设置；您只能编辑「我的账户」下的项目。,
Create a new agent.,创建新智能体。,
Get started with agents,开始使用智能体,
Create agents to run automations on Raven.,创建智能体以在 Raven 上运行自动化。,
"Send reminders, document notifications and run AI assistants.",发送提醒、文档通知并运行 AI 助手。,
Create your first agent,创建你的第一个智能体,
You've reached the end of your mentions.,已加载全部 @ 提及。,
Loading more mentions...,正在加载更多 @ 提及…,
Upload Image,上传图片,
upload image,上传图片,
remove image,移除图片,
Remove logo,移除 Logo,
Are you sure you want to remove the logo?,确定要移除 Logo 吗？,
Setting up your workspace...,正在设置您的工作区…,
There was an error while fetching your workspaces.,获取工作区时发生错误。,
You have not set up any workspaces yet.,您尚未设置任何工作区。,
My Workspaces,我的工作区,
Switch between workspaces that you are a member of.,在您所属的工作区之间切换。,
Other Workspaces,其他工作区,
Explore other workspaces that you can join.,浏览您可加入的其他工作区。,
No members,暂无成员,
1 solo member,1 位成员,
members,位成员,
Joining workspace...,正在加入工作区…,
You have joined the workspace.,已加入工作区。,
There was an error while joining the workspace.,加入工作区时发生错误。,
Switch to {0} workspace,切换到 {0} 工作区,
Join {0} workspace,加入 {0} 工作区,
Nothing turned up,没有找到结果,
"You may want to try using different keywords, checking for typos or adjusting your filters.",可尝试更换关键词、检查拼写或调整筛选条件。,
Not the results that you expected?,结果不符合预期？,
{0} created this channel on,{0} 于,
This is the very beginning of the {0} channel.,这是 {0} 频道的开始。,
Bot,机器人,
This space is all yours.,这里是您的私人空间。,
"Draft messages, list your to-dos, or keep links and files handy.",起草消息、列待办，或把链接和文件放在手边。,
"And if you ever feel like talking to yourself, don't worry, we won't judge - just remember to bring your own banter to the table.",如果想自言自语也没关系，我们不会介意——记得自带话题就好。,
This is a Direct Message channel between you and,这是您与,
We could not find the user for this DM channel,无法找到此私信频道的用户,
Your saved messages will appear here,您的收藏消息将显示在这里,
Saved messages are a convenient way to keep track of important information or messages you want to refer back to later.,收藏消息可方便地保存重要信息或日后要查看的消息。,
You can save messages by simply clicking on the bookmark icon,点击消息操作中的书签图标即可收藏消息,
in message actions.,（在消息操作中）,
No threads to show,暂无话题,
Threads are a way to keep conversations organized and focused. You can create a thread by replying to a message.,话题用于让对话更有条理。回复某条消息即可创建话题。,
You can also start a thread by clicking on the,也可点击任意消息上的,
Create Thread,创建主题,
button on any message.,按钮开始话题。,
Select a channel from the sidebar to view it's messages,从侧边栏选择频道以查看消息,
Page not found.,页面未找到。,
You have ventured too far beyond the wall.,您走得太远了。,
Go Back,返回,
A new update is available.,有新版本可用。,
There was an unexpected error.,发生未预期的错误。,
"If you face this error again, please report it either on",若再次出现此错误，请到,
or,或,
our support portal,支持门户,
Show error details,显示错误详情,
Upgrade to a better experience,升级以获得更好体验,
Reload the Page,重新加载页面,
Back to Channels,返回频道,
My Account,我的账户,
Help & Support,帮助与支持,
Instructions,说明,
Document Processors,文档处理器,
Commands,命令,
Rename,重命名,
Rename Workspace,重命名工作区,
Select a new name for your workspace,为工作区输入新名称,
Close,关闭,
Renaming...,重命名中…,
Workspace renamed,工作区已重命名,
Delete {0}?,确定删除 {0}？,
"Are you sure you want to delete this workspace? If you proceed, all channels, threads and messages within the workspace will be deleted. This action cannot be undone.",确定要删除此工作区吗？删除后，工作区内的所有频道、话题和消息将被永久删除，且无法恢复。,
Enter the workspace name to confirm deletion,输入工作区名称以确认删除,
Deleting...,删除中…,
Workspace deleted,工作区已删除,
"e.g. red-wedding-planning, joffrey-memes","例如：red-wedding-planning, joffrey-memes",
e.g. Great wine and food. What could go wrong?,例如：美酒佳肴，还能出什么岔子？,
What is this workspace for?,这个工作区是做什么用的？,
e.g. My Workspace,例如：我的工作区,
Command Menu,命令菜单,
Search or type a command,搜索或输入命令,
No results found.,未找到结果。,
No mentions yet,暂无提及,
"When someone mentions you in a message, you'll see it here.",当有人在消息中提及你时，会显示在这里。,
Search,搜索,
Close thread,关闭话题,
Search threads...,搜索话题…,
Channel / DM,频道 / 私信,
Any Channel,任意频道,
Viewing all threads,查看全部话题,
Viewing only unread threads,仅查看未读话题,
Showing only unread threads,仅显示未读话题,
Showing all threads,显示全部话题,
Filter unread threads,筛选未读话题,
Remove File,移除文件,
e.g. Out of Office,例如：外出,
Copied,已复制,
Copy,复制,
Click to copy,点击复制,
***********,***********,
Mask password,隐藏密码,
Reveal password,显示密码,
Verification Code,验证码,
Jane Doe,张三,
Could not react to message.,无法对消息做出反应。,
React with {0},用 {0} 回复,
Edit message,编辑消息,
Reply,回复,
Reply to this message,回复此消息,
More actions,更多操作,
Thread created,主题已创建,
Failed to create thread,创建主题失败,
Create a thread,创建主题,
Add reaction,添加回复,
pick emoji,选择表情,
Link copied,链接已复制,
Download,下载,
Copy link,复制链接,
Preview,预览,
Click to hide image,点击隐藏图片,
Click to show image,点击显示图片,
Hide image,隐藏图片,
Show image,显示图片,
Copying link...,正在复制链接…,
Link copied!,链接已复制！,
Failed to copy link,复制链接失败,
Open in new tab,在新标签页中打开,
Copy Link,复制链接,
Workflow,工作流,
Workflow transition applied successfully,工作流状态已更新,
Failed to apply workflow transition,应用工作流状态失败,
No transitions available,无可用状态转换,
Print,打印,
Standard,标准,
YouTube video player,YouTube 视频播放器,
bold,粗体,
Bold,粗体,
italic,斜体,
Italic,斜体,
underline,下划线,
Underline,下划线,
code,代码,
Code,代码,
code block,代码块,
Code Block,代码块,
strike,删除线,
Strike,删除线,
blockquote,引用,
Blockquote,引用,
ordered list,有序列表,
Ordered List,有序列表,
bullet list,无序列表,
Bullet List,无序列表,
highlight,高亮,
Highlight,高亮,
Parse timestamps from message,解析消息中的时间戳,
mention channel,提及频道,
Mention a channel,提及频道,
mention user,提及用户,
Mention a user,提及用户,
Add emoji,添加表情,
add emoji,添加表情,
Add GIF,添加 GIF,
add GIF,添加 GIF,
Attach file,附加文件,
attach file,附加文件,
send message,发送消息,
Send message,发送消息,
Other options,其他选项,
Send without notification,静默发送（不通知）,
Create Poll,创建投票,
create poll,创建投票,
Create a quick poll to get everyone's thoughts on a topic.,快速创建投票收集大家对某个话题的看法。,
Insert a Command,插入命令,
insert a command,插入命令,
Insert a command,插入命令,
Select a saved command to insert into your message.,选择要插入消息的已保存命令。,
Search saved prompts,搜索已保存命令,
No saved prompts found,未找到已保存命令,
Loading...,加载中…,
Attach a document from the system,从系统附加文档,
Send a document,发送文档,
Choose a document from the system to send.,选择要发送的系统文档。,
Select a document,选择文档,
Enter a message to send with the document,输入随文档一起发送的消息,
Document Type is required,请选择文档类型,
Document Name,文档名称,
Document Name is required,请选择文档名称,
Message,消息,
Optional,选填,
Select emoji {0},选择表情 {0},
Mention channel {0},提及频道 {0},
Mention {0},提及 {0},
This user is not a member of the channel,该用户不是频道成员,
Message updated,消息已更新,
Edit Message,编辑消息,
Type in the new message text,输入新消息内容,
Press,按,
to save,保存,
Message deleted,消息已删除,
Thread,主题,
This action is permanent and cannot be undone.,此操作不可撤销。,
"This message is a thread, deleting it will delete all messages in the thread.",该消息为主题，删除将同时删除主题内所有消息。,
Are you sure you want to delete this message? It will be deleted for all users.,确定要删除此消息吗？将对所有用户删除。,
Deleting,删除中,
Message forwarded successfully!,消息已成功转发！,
Failed to forward message,转发消息失败,
Forward Message,转发消息,
Forward message to a user or channel,将消息转发给用户或频道,
Sending,发送中,
File attached to {0} - {1},文件已附加到 {0} - {1},
Failed to attach file,附加文件失败,
Attach,附加,
Enter password,输入密码,
org-************************,org-************************,
proj_************************,proj_************************,
Select Provider,选择提供商,
http://localhost:11434/v1,http://localhost:11434/v1,
Select a variable type,选择变量类型,
Enter a description for this variable,输入此变量的描述,
e.g. Sales Invoice - Daily Reminder,例如：销售发票 - 每日提醒,
Select Channel,选择频道,
Select Bot,选择机器人,
Select Frequency,选择频率,
e.g. 10,例如：10,
e.g. 30,例如：30,
Select Day,选择日期,
"e.g. Hello, this is a reminder to pay your dues.",例如：您好，这是付款提醒。,
Select Field,选择字段,
Add options separated by a new line.,每行一个选项。,
Select a template,选择模板,
asst_*******************,asst_*******************,
Select Model,选择模型,
Select Reasoning Effort,选择推理程度,
accounts-bot,accounts-bot,
A bot to handle accounts,用于处理账户的机器人,
Pick a function type,选择函数类型,
get_purchase_invoice,get_purchase_invoice,
Describe what this function does.,描述此函数的作用。,
myapp.api.my_custom_function,myapp.api.my_custom_function,
Create Document Template,创建文档模板,
Can you create purchase invoices from these files?,能否根据这些文件创建采购发票？,
Type a name...,输入名称…,
Create support ticket,创建支持工单,
Pick an action type,选择操作类型,
Create a support ticket from the message.,根据消息创建支持工单。,
Ticket created successfully.,工单已创建。,
Ask a question to gather responses,提出问题以收集回复,
Option {0},选项 {0},
Search for file,搜索文件,
File Type,文件类型,
Search messages,搜索消息,
From,来自,
Date,日期,
Search GIFs,搜索 GIF,
Search {0},搜索 {0},
Find members,查找成员,
"e.g. wedding-gone-wrong, joffrey-tributes","例如：wedding-gone-wrong, joffrey-tributes",
Search fields,搜索字段,
e.g. jawdrop,例如：jawdrop,
"e.g. shocked, surprised, omg","例如：shocked, surprised, omg",
Salary Slip Notification,工资条通知,
Pick a trigger,选择触发条件,
e.g. Salary Slip,例如：工资条,
Select a bot,选择机器人,
"Hi {{ doc.employee_name }}, your salary slip is ready.",您好 {{ doc.employee_name }}，您的工资条已就绪。,
Pick a channel type,选择频道类型,
Pick a variable type,选择变量类型,
Select a channel,选择频道,
Select a user,选择用户,
"e.g. {{ frappe.db.get_value(""Employee"", doc.employee_id, ""user_id"") }}","例如：{{ frappe.db.get_value(""Employee"", doc.employee_id, ""user_id"") }}",
Pick a field,选择字段,
e.g. doc.docstatus == 1,例如：doc.docstatus == 1,
Trigger Events,触发事件,
Add a search query above to see results.,在上方输入搜索内容以查看结果。,
Search files,搜索文件,
View OpenAI documentation about File Search,查看 OpenAI 关于文件搜索的文档,
File search enables the assistant with knowledge from files that you upload.,文件搜索使助手能够使用您上传文件中的知识。,
"Once a file is uploaded, the assistant automatically decides when to retrieve content based on user requests.",文件上传后，助手会根据用户请求自动决定何时检索内容。,
No results found,未找到结果,
Select {0}s,选择 {0},
File Search,文件搜索,
You will be able to search for this emoji by these keywords. (Optional),您可以通过这些关键词搜索此表情。（选填）,
"If messages on Raven do not appear in realtime, you can inspect your network connection here.",若 Raven 消息未实时显示，可在此检查网络连接。,
Realtime Connection Test,实时连接测试,
Realtime connections are not working on your site. Messages won't be refreshed in real-time.,本站实时连接异常，消息将不会实时刷新。,
Real-time Ping Check:,实时 Ping 检测：,
Send a ping,发送 Ping,
send a ping,发送 Ping,
SocketIO Transport Mode:,SocketIO 传输模式：,
System Health Report,系统健康报告,
View Full System Health Report,查看完整系统健康报告,
Integrations,集成,
Remove Option,移除选项,
Add Option,添加选项,
Maximum of 10 options allowed,最多允许 10 个选项,
Remove,移除,
Nothing to see here,这里什么都没有,
No files found in this channel,此频道中未找到文件,
Are you sure you want to delete this webhook?,确定要删除此 Webhook 吗？,
{0} joined.,{0} 已加入。,
{0} added {1}.,{0} 添加了 {1}。,
{0} is now an admin.,{0} 现为管理员。,
{0} is no longer an admin.,{0} 已不再是管理员。,
Threads,话题,
You,你,
(edited),（已编辑）,
Start a Meeting,开始会议,
View Files,查看文件,
Channel Settings,频道设置,
Add Members,添加成员,
Only channel admins or Raven admins are allowed to change the channel settings,仅频道管理员或 Raven 管理员可修改频道设置,
General,常规,
General channel cannot be modified/ removed,常规 频道不可修改或移除,
Archive channel,归档频道,
Delete channel,删除频道,
Change to a private channel,改为私有频道,
Change to a public channel,改为公开频道,
Change to an open channel,改为开放频道,
Subject,主题,
Subject is required,主题为必填项,
Duration,时长,
Duration is required,时长为必填项,
15 minutes,15 分钟,
30 minutes,30 分钟,
1 hour,1 小时,
2 hours,2 小时,
Google Calendar,谷歌日历,
Calendar is required,请选择日历,
(Optional),（可选）,
Create,创建,
Meeting created,会议已创建,
Meeting with #{0},与 #{0} 的会议,
Meeting between {0} and {1},{0} 与 {1} 的会议,
FAC Integration,FAC 集成,
Enable FAC Integration,启用 FAC 集成,
FAC Integration Mode,FAC 集成模式,
In-process,同进程,
HTTP,HTTP,
Use Frappe Assistant Core (FAC) tools in Raven bots. Requires frappe_assistant_core app.,在 Raven 机器人中使用 Frappe Assistant Core (FAC) 工具。需安装 frappe_assistant_core 应用。,
"In-process: same site, no HTTP. HTTP: call FAC MCP endpoint (requires URL and auth).",同进程：同站点、无 HTTP。HTTP：调用 FAC MCP 端点（需配置 URL 与认证）。,
Select mode,选择模式,
Is AI Agent,是 AI 智能体,
Check to enable AI features for this bot,勾选以启用此机器人的 AI 功能,
Files,文件,
API Docs,API 文档,
New Agent,新建智能体,
Create an Agent,创建智能体,
Not Saved,未保存,
Agent,智能体,
Name is required,名称为必填项,
OpenAI Assistant ID,OpenAI 助手 ID,
Allow Agent to Write Documents,允许智能体写入文档,
Checking this will allow the bot to create/update/delete documents in the system.,勾选后允许机器人在系统中创建/更新/删除文档。,
Enable this if you want the bot to be able to read PDF files and scan them.,若希望机器人能读取 PDF 并扫描内容，请启用此项。,
Enable Code Interpreter,启用代码解释器,
View OpenAI documentation about Code Interpreter,查看 OpenAI 关于代码解释器的文档,
Enable this if you want the bot to be able to process files like Excel sheets or data from Insights.,若希望机器人能处理 Excel 或 Insights 等数据，请启用此项。,
OpenAI Assistants run code in a sandboxed environment (on OpenAI servers) to do this.,OpenAI 助手在沙箱环境（OpenAI 服务器）中运行代码以实现此功能。,
"Currently, code interpreter features are not available for Local LLM providers.",当前本地 LLM 提供商不支持代码解释器功能。,
These features require OpenAI's infrastructure.,这些功能需要 OpenAI 的基础设施。,
Advanced,高级,
Enable Debug Mode,启用调试模式,
"If enabled, stack traces of errors will be sent as messages by the bot during runs.",启用后，运行时的错误堆栈会作为消息由机器人发送。,
"This is helpful when you're testing your bots and want to know where things are going wrong.",便于在测试机器人时定位问题。,
Temperature,温度,
(Default: 1),（默认：1）,
"What sampling temperature to use, between 0 and 2. Higher values like 0.8 will make the output more random, while lower values like 0.2 will make it more focused and deterministic.",采样温度（0–2）：值越高（如 0.8）输出越随机，越低（如 0.2）越集中、确定。,
Top P,Top P,
"An alternative to sampling with temperature, called nucleus sampling, where the model considers the results of the tokens with top_p probability mass. So 0.1 means only the tokens comprising the top 10% probability mass are considered.",核采样：模型仅考虑概率质量前 top_p 的 token；0.1 表示仅考虑前 10%。,
"We generally recommend altering this or temperature but not both.",建议只调整此项或温度其一，不要同时调整。,
"No AI providers are configured. Please configure OpenAI or Local LLM in AI Settings.",未配置 AI 提供商。请在 AI 设置中配置 OpenAI 或本地 LLM。,
Model Provider,模型提供商,
Please select a model provider,请选择模型提供商,
Model,模型,
Please select a model,请选择模型,
No models available,暂无可用模型,
